DATE,DGS1
2018-10-01,2.6518181818181818
2018-11-01,2.6985000000000000
2018-12-01,2.6552631578947368
2019-01-01,2.5795238095238095
2019-02-01,2.5494736842105263
2019-03-01,2.4909523809523810
2019-04-01,2.4247619047619048
2019-05-01,2.3404545454545455
2019-06-01,1.9950000000000000
2019-07-01,1.9622727272727273
2019-08-01,1.7722727272727273
2019-09-01,1.7960000000000000
2019-10-01,1.6081818181818182
2019-11-01,1.5678947368421053
2019-12-01,1.5490476190476190
2020-01-01,1.5328571428571429
2020-02-01,1.4057894736842105
2020-03-01,0.33181818181818181818
2020-04-01,0.18428571428571428571
2020-05-01,0.16150000000000000000
2020-06-01,0.17636363636363636364
2020-07-01,0.14545454545454545455
2020-08-01,0.13047619047619047619
2020-09-01,0.12761904761904761905
2020-10-01,0.12666666666666666667
2020-11-01,0.11736842105263157895
2020-12-01,0.10045454545454545455
2021-01-01,0.10052631578947368421
2021-02-01,0.07263157894736842105
2021-03-01,0.07565217391304347826
2021-04-01,0.06090909090909090909
2021-05-01,0.05050000000000000000
2021-06-01,0.06681818181818181818
2021-07-01,0.07571428571428571429
2021-08-01,0.07363636363636363636
2021-09-01,0.07714285714285714286
2021-10-01,0.11300000000000000000
2021-11-01,0.17900000000000000000
2021-12-01,0.29909090909090909091
2022-01-01,0.54950000000000000000
2022-02-01,1.00421052631578947368
2022-03-01,1.3352173913043478
